DDI_ID,Object_DrugBank_ID,Precipitant_DrugBank_ID,Object_DCQC,Precipitant_DCQC,Object_Name,Precipitant_Name,Drugbank_AE
P010011,DB00422,DB00752,39302,9698,Methylphenidate,Tranylcypromine,The risk or severity of hypertension can be increased when Methylphenidate is combined with Tranylcypromine.
P010012,DB00422,DB00780,39302,7280,Methylphenidate,Phenelzine,Phenelzine may increase the hypertensive activities of Methylphenidate.
P010014,DB00422,DB01168,39302,8112,Methylphenidate,Procarbazine,Procarbazine may increase the hypertensive activities of Methylphenidate.
P010015,DB00422,DB01037,39302,45544,Methylphenidate,Selegiline,The risk or severity of adverse effects can be increased when Methylphenidate is combined with Selegiline.
P010031,DB00852,DB00752,46158,9698,Pseudoephedrine,Tranylcypromine,Tranylcypromine may increase the hypertensive activities of Pseudoephedrine.
P010032,DB00780,DB00852,7280,46158,Phenelzine,Pseudoephedrine,Phenelzine may increase the hypertensive activities of Pseudoephedrine.
P010034,DB01168,DB00852,8112,46158,Procarbazine,Pseudoephedrine,Procarbazine may increase the hypertensive activities of Pseudoephedrine.
P010035,DB00852,DB01037,46158,45544,Pseudoephedrine,Selegiline,Selegiline may increase the hypertensive activities of Pseudoephedrine.
P010036,DB00182,DB00752,47601,9698,Amphetamine,Tranylcypromine,Tranylcypromine may increase the hypertensive activities of Amphetamine.
P010037,DB00182,DB00780,47601,7280,Amphetamine,Phenelzine,Phenelzine may increase the hypertensive activities of Amphetamine.
P010039,DB00182,DB01168,47601,8112,Amphetamine,Procarbazine,Procarbazine may increase the hypertensive activities of Amphetamine.
P010040,DB00182,DB01037,47601,45544,Amphetamine,Selegiline,Selegiline may increase the hypertensive activities of Amphetamine.
P010056,DB00289,DB00752,47547,9698,Atomoxetine,Tranylcypromine,The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Atomoxetine.
P010057,DB00289,DB00780,47547,7280,Atomoxetine,Phenelzine,The risk or severity of adverse effects can be increased when Phenelzine is combined with Atomoxetine.
P010059,DB00289,DB01168,47547,8112,Atomoxetine,Procarbazine,The risk or severity of adverse effects can be increased when Procarbazine is combined with Atomoxetine.
P010060,DB00289,DB01037,47547,45544,Atomoxetine,Selegiline,The risk or severity of adverse effects can be increased when Selegiline is combined with Atomoxetine.
P020061,DB01072,DB00338,47479,47146,Atazanavir,Omeprazole,Omeprazole can cause a decrease in the absorption of Atazanavir resulting in a reduced serum concentration and potentially a decrease in efficacy.
P020062,DB01072,DB00448,47479,47140,Atazanavir,Lansoprazole,The therapeutic efficacy of Atazanavir can be decreased when used in combination with Lansoprazole.
P020066,DB01072,DB05351,47479,47850,Atazanavir,Dexlansoprazole,Dexlansoprazole can cause a decrease in the absorption of Atazanavir resulting in a reduced serum concentration and potentially a decrease in efficacy.
P030068,DB04854,DB01033,47843,5733,Febuxostat,Mercaptopurine,The serum concentration of Mercaptopurine can be increased when it is combined with Febuxostat.
P040069,DB00472,DB00752,45504,9698,Fluoxetine,Tranylcypromine,The risk or severity of adverse effects can be increased when Fluoxetine is combined with Tranylcypromine.
P040070,DB00472,DB00780,45504,7280,Fluoxetine,Phenelzine,The risk or severity of adverse effects can be increased when Fluoxetine is combined with Phenelzine.
P040072,DB00472,DB01168,45504,8112,Fluoxetine,Procarbazine,Procarbazine may increase the serotonergic activities of Fluoxetine.
P040073,DB00472,DB01037,45504,45544,Fluoxetine,Selegiline,Selegiline may increase the serotonergic activities of Fluoxetine.
P040074,DB00715,DB00752,47061,9698,Paroxetine,Tranylcypromine,The risk or severity of adverse effects can be increased when Paroxetine is combined with Tranylcypromine.
P040075,DB00715,DB00780,47061,7280,Paroxetine,Phenelzine,The risk or severity of adverse effects can be increased when Paroxetine is combined with Phenelzine.
P040077,DB00715,DB01168,47061,8112,Paroxetine,Procarbazine,Procarbazine may increase the serotonergic activities of Paroxetine.
P040078,DB00715,DB01037,47061,45544,Paroxetine,Selegiline,Selegiline may increase the serotonergic activities of Paroxetine.
P040079,DB00215,DB00752,47317,9698,Citalopram,Tranylcypromine,The risk or severity of serotonin syndrome can be increased when Tranylcypromine is combined with Citalopram.
P040080,DB00215,DB00780,47317,7280,Citalopram,Phenelzine,The risk or severity of serotonin syndrome can be increased when Phenelzine is combined with Citalopram.
P040082,DB00215,DB01168,47317,8112,Citalopram,Procarbazine,The risk or severity of serotonin syndrome can be increased when Procarbazine is combined with Citalopram.
P040083,DB00215,DB01037,47317,45544,Citalopram,Selegiline,The risk or severity of serotonin syndrome can be increased when Selegiline is combined with Citalopram.
P040084,DB01175,DB00752,47553,9698,Escitalopram,Tranylcypromine,The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Escitalopram.
P040085,DB01175,DB00780,47553,7280,Escitalopram,Phenelzine,The risk or severity of adverse effects can be increased when Phenelzine is combined with Escitalopram.
P040087,DB01175,DB01168,47553,8112,Escitalopram,Procarbazine,Procarbazine may increase the serotonergic activities of Escitalopram.
P040088,DB01175,DB01037,47553,45544,Escitalopram,Selegiline,Selegiline may increase the serotonergic activities of Escitalopram.
P040089,DB01104,DB00752,45630,9698,Sertraline,Tranylcypromine,The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Sertraline.
P040090,DB00780,DB01104,7280,45630,Phenelzine,Sertraline,The risk or severity of adverse effects can be increased when Phenelzine is combined with Sertraline.
P040092,DB01168,DB01104,8112,45630,Procarbazine,Sertraline,Procarbazine may increase the serotonergic activities of Sertraline.
P040093,DB01037,DB01104,45544,45630,Selegiline,Sertraline,Selegiline may increase the serotonergic activities of Sertraline.
P040094,DB00176,DB00752,45633,9698,Fluvoxamine,Tranylcypromine,The risk or severity of adverse effects can be increased when Fluvoxamine is combined with Tranylcypromine.
P040095,DB00176,DB00780,45633,7280,Fluvoxamine,Phenelzine,The risk or severity of adverse effects can be increased when Fluvoxamine is combined with Phenelzine.
P040097,DB00176,DB01168,45633,8112,Fluvoxamine,Procarbazine,Procarbazine may increase the serotonergic activities of Fluvoxamine.
P040098,DB00176,DB01037,45633,45544,Fluvoxamine,Selegiline,Selegiline may increase the serotonergic activities of Fluvoxamine.
P040099,DB00476,DB00752,47714,9698,Duloxetine,Tranylcypromine,The risk or severity of orthostatic hypotension and syncope can be increased when Tranylcypromine is combined with Duloxetine.
P040100,DB00476,DB00780,47714,7280,Duloxetine,Phenelzine,The risk or severity of orthostatic hypotension and syncope can be increased when Phenelzine is combined with Duloxetine.
P040102,DB00476,DB01168,47714,8112,Duloxetine,Procarbazine,Procarbazine may increase the serotonergic activities of Duloxetine.
P040103,DB00476,DB01037,47714,45544,Duloxetine,Selegiline,The risk or severity of orthostatic hypotension and syncope can be increased when Selegiline is combined with Duloxetine.
P040109,DB06700,DB00752,47770,9698,Desvenlafaxine,Tranylcypromine,The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Desvenlafaxine.
P040110,DB06700,DB00780,47770,7280,Desvenlafaxine,Phenelzine,The risk or severity of adverse effects can be increased when Phenelzine is combined with Desvenlafaxine.
P040112,DB06700,DB01168,47770,8112,Desvenlafaxine,Procarbazine,Procarbazine may increase the serotonergic activities of Desvenlafaxine.
P040113,DB06700,DB01037,47770,45544,Desvenlafaxine,Selegiline,Selegiline may increase the serotonergic activities of Desvenlafaxine.
P040119,DB00752,DB00285,9698,47118,Tranylcypromine,Venlafaxine,The risk or severity of adverse effects can be increased when Venlafaxine is combined with Tranylcypromine.
P040120,DB00780,DB00285,7280,47118,Phenelzine,Venlafaxine,The risk or severity of adverse effects can be increased when Venlafaxine is combined with Phenelzine.
P040122,DB01168,DB00285,8112,47118,Procarbazine,Venlafaxine,Procarbazine may increase the serotonergic activities of Venlafaxine.
P040123,DB01037,DB00285,45544,47118,Selegiline,Venlafaxine,Selegiline may increase the serotonergic activities of Venlafaxine.
P060148,DB00454,DB00752,5603,9698,Meperidine,Tranylcypromine,The risk or severity of serotonin syndrome and opioid toxicity can be increased when Tranylcypromine is combined with Meperidine.
P060149,DB00454,DB00780,5603,7280,Meperidine,Phenelzine,The risk or severity of serotonin syndrome and opioid toxicity can be increased when Phenelzine is combined with Meperidine.
P060151,DB00454,DB01037,5603,45544,Meperidine,Selegiline,The risk or severity of serotonin syndrome and opioid toxicity can be increased when Selegiline is combined with Meperidine.
P060152,DB00454,DB01168,5603,8112,Meperidine,Procarbazine,The risk or severity of serotonin syndrome and opioid toxicity can be increased when Procarbazine is combined with Meperidine.
P060153,DB00333,DB00752,45373,9698,Methadone,Tranylcypromine,The risk or severity of adverse effects can be increased when Methadone is combined with Tranylcypromine.
P060154,DB00333,DB00780,45373,7280,Methadone,Phenelzine,The risk or severity of adverse effects can be increased when Methadone is combined with Phenelzine.
P060156,DB00333,DB01037,45373,45544,Methadone,Selegiline,The risk or severity of adverse effects can be increased when Methadone is combined with Selegiline.
P060157,DB00333,DB01168,45373,8112,Methadone,Procarbazine,The risk or severity of adverse effects can be increased when Methadone is combined with Procarbazine.
P060163,DB00813,DB00752,3809,9698,Fentanyl,Tranylcypromine,The metabolism of Fentanyl can be decreased when combined with Tranylcypromine.
P060164,DB00813,DB00780,3809,7280,Fentanyl,Phenelzine,The metabolism of Fentanyl can be decreased when combined with Phenelzine.
P060166,DB00813,DB01037,3809,45544,Fentanyl,Selegiline,"The risk or severity of hypertension, serotonin syndrome, and CNS depression can be increased when Selegiline is combined with Fentanyl."
P060167,DB00813,DB01168,3809,8112,Fentanyl,Procarbazine,"The risk or severity of hypertension, serotonin syndrome, and CNS depression can be increased when Procarbazine is combined with Fentanyl."
P060168,DB00193,DB00752,47654,9698,Tramadol,Tranylcypromine,The risk or severity of serotonin syndrome and seizure can be increased when Tranylcypromine is combined with Tramadol.
P060169,DB00780,DB00193,7280,47654,Phenelzine,Tramadol,The risk or severity of serotonin syndrome and seizure can be increased when Phenelzine is combined with Tramadol.
P060171,DB01037,DB00193,45544,47654,Selegiline,Tramadol,The risk or severity of serotonin syndrome and seizure can be increased when Selegiline is combined with Tramadol.
P060172,DB01168,DB00193,8112,47654,Procarbazine,Tramadol,The risk or severity of serotonin syndrome and seizure can be increased when Procarbazine is combined with Tramadol.
P060173,DB00514,DB00752,2665,9698,Dextromethorphan,Tranylcypromine,The risk or severity of serotonin syndrome can be increased when Tranylcypromine is combined with Dextromethorphan.
P060174,DB00514,DB00780,2665,7280,Dextromethorphan,Phenelzine,The risk or severity of serotonin syndrome can be increased when Phenelzine is combined with Dextromethorphan.
P060176,DB00514,DB01037,2665,45544,Dextromethorphan,Selegiline,The risk or severity of serotonin syndrome can be increased when Selegiline is combined with Dextromethorphan.
P060177,DB00514,DB01168,2665,8112,Dextromethorphan,Procarbazine,The risk or severity of serotonin syndrome can be increased when Procarbazine is combined with Dextromethorphan.
P070178,DB00321,DB00752,429,9698,Amitriptyline,Tranylcypromine,The metabolism of Amitriptyline can be decreased when combined with Tranylcypromine.
P070179,DB00321,DB00780,429,7280,Amitriptyline,Phenelzine,The metabolism of Amitriptyline can be decreased when combined with Phenelzine.
P070181,DB00321,DB01168,429,8112,Amitriptyline,Procarbazine,Procarbazine may increase the serotonergic activities of Amitriptyline.
P070182,DB00321,DB01037,429,45544,Amitriptyline,Selegiline,The metabolism of Amitriptyline can be decreased when combined with Selegiline.
P070183,DB01242,DB00752,14781,9698,Clomipramine,Tranylcypromine,The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Clomipramine.
P070184,DB01242,DB00780,14781,7280,Clomipramine,Phenelzine,The risk or severity of adverse effects can be increased when Phenelzine is combined with Clomipramine.
P070186,DB01242,DB01168,14781,8112,Clomipramine,Procarbazine,Procarbazine may increase the serotonergic activities of Clomipramine.
P070187,DB01242,DB01037,14781,45544,Clomipramine,Selegiline,The metabolism of Clomipramine can be decreased when combined with Selegiline.
P070188,DB01151,DB00752,2522,9698,Desipramine,Tranylcypromine,The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Desipramine.
P070189,DB01151,DB00780,2522,7280,Desipramine,Phenelzine,The risk or severity of adverse effects can be increased when Phenelzine is combined with Desipramine.
P070191,DB01151,DB01168,2522,8112,Desipramine,Procarbazine,Procarbazine may increase the serotonergic activities of Desipramine.
P070192,DB01151,DB01037,2522,45544,Desipramine,Selegiline,The metabolism of Desipramine can be decreased when combined with Selegiline.
P070193,DB01142,DB00752,3198,9698,Doxepin,Tranylcypromine,The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Doxepin.
P070194,DB01142,DB00780,3198,7280,Doxepin,Phenelzine,The risk or severity of adverse effects can be increased when Phenelzine is combined with Doxepin.
P070196,DB01142,DB01168,3198,8112,Doxepin,Procarbazine,Procarbazine may increase the serotonergic activities of Doxepin.
P070197,DB01142,DB01037,3198,45544,Doxepin,Selegiline,The metabolism of Doxepin can be decreased when combined with Selegiline.
P070198,DB00458,DB00752,4784,9698,Imipramine,Tranylcypromine,The risk or severity of adverse effects can be increased when Imipramine is combined with Tranylcypromine.
P070199,DB00458,DB00780,4784,7280,Imipramine,Phenelzine,The risk or severity of adverse effects can be increased when Imipramine is combined with Phenelzine.
P070201,DB00458,DB01168,4784,8112,Imipramine,Procarbazine,Procarbazine may increase the serotonergic activities of Imipramine.
P070202,DB00458,DB01037,4784,45544,Imipramine,Selegiline,The serum concentration of Imipramine can be increased when it is combined with Selegiline.
P070203,DB00540,DB00752,6578,9698,Nortriptyline,Tranylcypromine,The risk or severity of adverse effects can be increased when Nortriptyline is combined with Tranylcypromine.
P070204,DB00540,DB00780,6578,7280,Nortriptyline,Phenelzine,The risk or severity of adverse effects can be increased when Nortriptyline is combined with Phenelzine.
P070206,DB00540,DB01168,6578,8112,Nortriptyline,Procarbazine,Procarbazine may increase the serotonergic activities of Nortriptyline.
P070207,DB00540,DB01037,6578,45544,Nortriptyline,Selegiline,The metabolism of Nortriptyline can be decreased when combined with Selegiline.
P070208,DB00752,DB00726,9698,9906,Tranylcypromine,Trimipramine,The risk or severity of adverse effects can be increased when Trimipramine is combined with Tranylcypromine.
P070209,DB00780,DB00726,7280,9906,Phenelzine,Trimipramine,The risk or severity of adverse effects can be increased when Trimipramine is combined with Phenelzine.
P070211,DB01168,DB00726,8112,9906,Procarbazine,Trimipramine,Procarbazine may increase the serotonergic activities of Trimipramine.
P070212,DB01037,DB00726,45544,9906,Selegiline,Trimipramine,The serum concentration of Trimipramine can be increased when it is combined with Selegiline.
P080009,DB00915,DB01118,18426,45441,Amantadine,Amiodarone,The risk or severity of QTc prolongation can be increased when Amantadine is combined with Amiodarone.
P080015,DB00915,DB00321,18426,429,Amantadine,Amitriptyline,Amantadine may decrease the excretion rate of Amitriptyline which could result in a higher serum level.
P080016,DB01118,DB00321,45441,429,Amiodarone,Amitriptyline,The metabolism of Amitriptyline can be decreased when combined with Amiodarone.
P080018,DB00321,DB00681,429,520,Amitriptyline,Amphotericin B,Amphotericin B may decrease the excretion rate of Amitriptyline which could result in a higher serum level.
P080020,DB00915,DB00681,18426,520,Amantadine,Amphotericin B,Amphotericin B may decrease the excretion rate of Amantadine which could result in a higher serum level.
P080021,DB01118,DB00681,45441,520,Amiodarone,Amphotericin B,Amiodarone may decrease the nephrotoxic activities of Amphotericin B.
P080030,DB00321,DB00261,429,47262,Amitriptyline,Anagrelide,The risk or severity of QTc prolongation can be increased when Amitriptyline is combined with Anagrelide.
P080033,DB00915,DB00261,18426,47262,Amantadine,Anagrelide,The risk or severity of QTc prolongation can be increased when Amantadine is combined with Anagrelide.
P080035,DB01118,DB00261,45441,47262,Amiodarone,Anagrelide,The risk or severity of QTc prolongation can be increased when Anagrelide is combined with Amiodarone.
P080046,DB00681,DB01072,520,47479,Amphotericin B,Atazanavir,The risk or severity of nephrotoxicity can be increased when Amphotericin B is combined with Atazanavir.
P080048,DB01118,DB01072,45441,47479,Amiodarone,Atazanavir,The metabolism of Amiodarone can be decreased when combined with Atazanavir.
P080050,DB00915,DB01072,18426,47479,Amantadine,Atazanavir,Atazanavir may decrease the excretion rate of Amantadine which could result in a higher serum level.
P080052,DB00321,DB01072,429,47479,Amitriptyline,Atazanavir,The serum concentration of Amitriptyline can be increased when it is combined with Atazanavir.
P080053,DB00261,DB01072,47262,47479,Anagrelide,Atazanavir,The risk or severity of QTc prolongation can be increased when Atazanavir is combined with Anagrelide.
P080059,DB00915,DB00207,18426,46236,Amantadine,Azithromycin,The risk or severity of QTc prolongation can be increased when Amantadine is combined with Azithromycin.
P080062,DB00321,DB00207,429,46236,Amitriptyline,Azithromycin,The serum concentration of Amitriptyline can be increased when it is combined with Azithromycin.
P080063,DB01118,DB00207,45441,46236,Amiodarone,Azithromycin,The risk or severity of QTc prolongation can be increased when Azithromycin is combined with Amiodarone.
P080064,DB01072,DB00207,47479,46236,Atazanavir,Azithromycin,The serum concentration of Atazanavir can be increased when it is combined with Azithromycin.
P080065,DB00261,DB00207,47262,46236,Anagrelide,Azithromycin,The risk or severity of adverse effects can be increased when Azithromycin is combined with Anagrelide.
P080106,DB00261,DB00608,47262,1833,Anagrelide,Chloroquine,The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Anagrelide.
P080111,DB00207,DB00608,46236,1833,Azithromycin,Chloroquine,The serum concentration of Chloroquine can be increased when it is combined with Azithromycin.
P080112,DB00321,DB00608,429,1833,Amitriptyline,Chloroquine,The metabolism of Amitriptyline can be decreased when combined with Chloroquine.
P080114,DB01072,DB00608,47479,1833,Atazanavir,Chloroquine,The serum concentration of Atazanavir can be increased when it is combined with Chloroquine.
P080115,DB00915,DB00608,18426,1833,Amantadine,Chloroquine,The risk or severity of QTc prolongation can be increased when Amantadine is combined with Chloroquine.
P080116,DB01118,DB00608,45441,1833,Amiodarone,Chloroquine,The metabolism of Amiodarone can be decreased when combined with Chloroquine.
P080117,DB00681,DB00608,520,1833,Amphotericin B,Chloroquine,Amphotericin B may decrease the excretion rate of Chloroquine which could result in a higher serum level.
P080121,DB00261,DB00477,47262,1924,Anagrelide,Chlorpromazine,The risk or severity of QTc prolongation can be increased when Chlorpromazine is combined with Anagrelide.
P080124,DB00915,DB00477,18426,1924,Amantadine,Chlorpromazine,Chlorpromazine may decrease the excretion rate of Amantadine which could result in a higher serum level.
P080128,DB00321,DB00477,429,1924,Amitriptyline,Chlorpromazine,The metabolism of Amitriptyline can be decreased when combined with Chlorpromazine.
P080129,DB00608,DB00477,1833,1924,Chloroquine,Chlorpromazine,The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Chlorpromazine.
P080130,DB01072,DB00477,47479,1924,Atazanavir,Chlorpromazine,The serum concentration of Atazanavir can be increased when it is combined with Chlorpromazine.
P080132,DB00681,DB00477,520,1924,Amphotericin B,Chlorpromazine,Amphotericin B may decrease the excretion rate of Chlorpromazine which could result in a higher serum level.
P080134,DB00207,DB00477,46236,1924,Azithromycin,Chlorpromazine,The serum concentration of Chlorpromazine can be increased when it is combined with Azithromycin.
P080135,DB01118,DB00477,45441,1924,Amiodarone,Chlorpromazine,Chlorpromazine may decrease the excretion rate of Amiodarone which could result in a higher serum level.
P080157,DB00477,DB00501,1924,38366,Chlorpromazine,Cimetidine,The risk or severity of liver damage can be increased when Chlorpromazine is combined with Cimetidine.
P080158,DB00207,DB00501,46236,38366,Azithromycin,Cimetidine,The serum concentration of Cimetidine can be increased when it is combined with Azithromycin.
P080159,DB00608,DB00501,1833,38366,Chloroquine,Cimetidine,The serum concentration of Cimetidine can be increased when it is combined with Chloroquine.
P080163,DB01072,DB00501,47479,38366,Atazanavir,Cimetidine,Cimetidine can cause a decrease in the absorption of Atazanavir resulting in a reduced serum concentration and potentially a decrease in efficacy.
P080164,DB00261,DB00501,47262,38366,Anagrelide,Cimetidine,The metabolism of Anagrelide can be decreased when combined with Cimetidine.
P080165,DB00321,DB00501,429,38366,Amitriptyline,Cimetidine,The metabolism of Amitriptyline can be decreased when combined with Cimetidine.
P080166,DB01118,DB00501,45441,38366,Amiodarone,Cimetidine,The serum concentration of Amiodarone can be increased when it is combined with Cimetidine.
P080168,DB00681,DB00501,520,38366,Amphotericin B,Cimetidine,Amphotericin B may decrease the excretion rate of Cimetidine which could result in a higher serum level.
P080170,DB00915,DB00501,18426,38366,Amantadine,Cimetidine,The serum concentration of Amantadine can be increased when it is combined with Cimetidine.
P080172,DB00608,DB00537,1833,45503,Chloroquine,Ciprofloxacin,The serum concentration of Ciprofloxacin can be increased when it is combined with Chloroquine.
P080173,DB01118,DB00537,45441,45503,Amiodarone,Ciprofloxacin,The metabolism of Amiodarone can be decreased when combined with Ciprofloxacin.
P080174,DB00477,DB00537,1924,45503,Chlorpromazine,Ciprofloxacin,The metabolism of Chlorpromazine can be decreased when combined with Ciprofloxacin.
P080175,DB00501,DB00537,38366,45503,Cimetidine,Ciprofloxacin,The serum concentration of Ciprofloxacin can be decreased when it is combined with Cimetidine.
P080178,DB00681,DB00537,520,45503,Amphotericin B,Ciprofloxacin,Amphotericin B may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.
P080180,DB00261,DB00537,47262,45503,Anagrelide,Ciprofloxacin,The metabolism of Anagrelide can be decreased when combined with Ciprofloxacin.
P080182,DB00207,DB00537,46236,45503,Azithromycin,Ciprofloxacin,The serum concentration of Ciprofloxacin can be increased when it is combined with Azithromycin.
P080186,DB00321,DB00537,429,45503,Amitriptyline,Ciprofloxacin,Ciprofloxacin may increase the QTc-prolonging activities of Amitriptyline.
P080187,DB01072,DB00537,47479,45503,Atazanavir,Ciprofloxacin,The serum concentration of Ciprofloxacin can be increased when it is combined with Atazanavir.
P080189,DB00915,DB00537,18426,45503,Amantadine,Ciprofloxacin,The risk or severity of QTc prolongation can be increased when Amantadine is combined with Ciprofloxacin.
P080191,DB00261,DB00215,47262,47317,Anagrelide,Citalopram,The risk or severity of QTc prolongation can be increased when Citalopram is combined with Anagrelide.
P080192,DB00477,DB00215,1924,47317,Chlorpromazine,Citalopram,The risk or severity of adverse effects can be increased when Citalopram is combined with Chlorpromazine.
P080194,DB00537,DB00215,45503,47317,Ciprofloxacin,Citalopram,The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Citalopram.
P080199,DB00321,DB00215,429,47317,Amitriptyline,Citalopram,The metabolism of Amitriptyline can be decreased when combined with Citalopram.
P080200,DB00501,DB00215,38366,47317,Cimetidine,Citalopram,The serum concentration of Citalopram can be increased when it is combined with Cimetidine.
P080201,DB01118,DB00215,45441,47317,Amiodarone,Citalopram,Amiodarone may increase the QTc-prolonging activities of Citalopram.
P080204,DB01072,DB00215,47479,47317,Atazanavir,Citalopram,The risk or severity of QTc prolongation can be increased when Atazanavir is combined with Citalopram.
P080206,DB00915,DB00215,18426,47317,Amantadine,Citalopram,The risk or severity of QTc prolongation can be increased when Amantadine is combined with Citalopram.
P080208,DB00608,DB00215,1833,47317,Chloroquine,Citalopram,The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Citalopram.
P080210,DB00207,DB00215,46236,47317,Azithromycin,Citalopram,The risk or severity of QTc prolongation can be increased when Azithromycin is combined with Citalopram.
P080211,DB00261,DB01211,47262,47018,Anagrelide,Clarithromycin,The risk or severity of QTc prolongation can be increased when Clarithromycin is combined with Anagrelide.
P080212,DB00537,DB01211,45503,47018,Ciprofloxacin,Clarithromycin,The serum concentration of Ciprofloxacin can be increased when it is combined with Clarithromycin.
P080215,DB01118,DB01211,45441,47018,Amiodarone,Clarithromycin,The metabolism of Amiodarone can be increased when combined with Clarithromycin.
P080217,DB00207,DB01211,46236,47018,Azithromycin,Clarithromycin,The serum concentration of Clarithromycin can be increased when it is combined with Azithromycin.
P080220,DB00321,DB01211,429,47018,Amitriptyline,Clarithromycin,The serum concentration of Amitriptyline can be increased when it is combined with Clarithromycin.
P080222,DB00477,DB01211,1924,47018,Chlorpromazine,Clarithromycin,The serum concentration of Clarithromycin can be increased when it is combined with Chlorpromazine.
